pct.exp,features.plot,id,avg.exp.scaled
4.444444444,MYH6,lEC,-0.402359564
13.33333333,NPPA,lEC,-0.508304181
0,HAND1,lEC,-0.343793381
15.55555556,MYL2,lEC,-0.147800653
1.111111111,GJA5,lEC,-0.609374402
0,TBX5,lEC,-0.53672496
14.44444444,MYL4,lEC,-0.4766079
11.11111111,MYL3,lEC,-0.47246724
1.111111111,MYOCD,lEC,-0.572407271
2.222222222,MYBPC3,lEC,-0.524175538
74.44444444,CDH5,lEC,0.80959833
83.33333333,PECAM1,lEC,1.009538206
8.888888889,APLNR,lEC,-0.46460232
3.333333333,SOX17,lEC,-0.458026409
84.44444444,KDR,lEC,1.693229974
11.11111111,DLL4,lEC,0.189398775
4.444444444,FLT1,lEC,-0.608409971
48.88888889,ROBO4,lEC,0.942108511
8.888888889,RGCC,lEC,-0.423308544
81.11111111,NRP2,lEC,2.311014394
47.77777778,TGFB1,lEC,1.100380915
42.22222222,FABP4,lEC,0.475208261
40,NFATC1,lEC,2.5
6.666666667,CDH11,lEC,-0.78077754
0,KLF1,lEC,-0.510751317
17.77777778,TAL1,lEC,1.722217444
98.88888889,VIM,lEC,-0.218356159
23.33333333,COL3A1,lEC,-1.335186446
14.44444444,COL1A1,lEC,-1.097161531
0,RSPO3,lEC,-0.643381831
51.11111111,MFAP4,lEC,0.600613573
6.666666667,TAGLN,lEC,-1.107056049
0,PDGFRB,lEC,-0.859699064
3.333333333,MYH11,lEC,-0.400139211
4.444444444,ACTA2,lEC,-0.968979701
2.222222222,DCN,lEC,-1.005847741
0,LUM,lEC,-0.746072645
0,TBX18,lEC,-0.696818428
0,TCF21,lEC,-0.69416977
1.111111111,WT1,lEC,-0.555142351
23.33333333,DDR2,lEC,-0.54882555
93.59803016,MYH7,vCM,2.5
25.39242844,MYH6,vCM,0.509331333
86.76515851,NPPA,vCM,1.90606534
20.86795937,HAND1,vCM,2.5
94.12126808,MYL2,vCM,2.5
24.09972299,GJA5,vCM,0.594444717
24.68451831,TBX5,vCM,0.686036773
97.59926131,MYL4,vCM,2.5
95.66020314,MYL3,vCM,2.5
43.1825177,MYOCD,vCM,1.405572166
80.05540166,MYBPC3,vCM,2.214670363
0.707910126,CDH5,vCM,-0.675723884
0.80024623,PECAM1,vCM,-0.693946567
0.461680517,APLNR,vCM,-0.613418897
0.092336103,SOX17,vCM,-0.525797314
1.508156356,KDR,vCM,-0.667112172
0.092336103,DLL4,vCM,-0.570013741
0.523237919,FLT1,vCM,-0.67574307
0.215450908,ROBO4,vCM,-0.678490088
0.769467528,RGCC,vCM,-0.761307028
2.185287781,NRP2,vCM,-0.99001051
0.984918436,TGFB1,vCM,-1.107610745
0.461680517,FABP4,vCM,-0.761312778
1.385041551,NFATC1,vCM,-0.760178939
3.539550631,CDH11,vCM,-1.041577575
0.215450908,KLF1,vCM,-0.370482165
0.153893506,TAL1,vCM,-0.801504987
88.67343798,VIM,vCM,-1.382539291
19.85226223,COL3A1,vCM,-1.229202767
33.30255463,COL1A1,vCM,-0.763511697
0.523237919,RSPO3,vCM,-0.597168592
27.23915051,MFAP4,vCM,-0.294083595
34.71837488,TAGLN,vCM,-0.161922312
0.923361034,PDGFRB,vCM,-0.820603845
2.092951677,MYH11,vCM,-0.34314704
36.41120345,ACTA2,vCM,0.010870148
13.11172669,DCN,vCM,-0.682563608
7.971683595,LUM,vCM,-0.481112701
0.646352724,TBX18,vCM,-0.651060329
3.755001539,TCF21,vCM,-0.522317514
0.615574023,WT1,vCM,-0.538511865
5.971068021,DDR2,vCM,-1.010864271
22.96544036,MYH7,PC,-0.229585287
2.675585284,MYH6,PC,-0.429128957
29.20847269,NPPA,PC,-0.365027054
0.334448161,HAND1,PC,-0.294231517
31.32664437,MYL2,PC,-0.104504645
7.803790412,GJA5,PC,-0.379372386
2.341137124,TBX5,PC,-0.461762922
33.22185061,MYL4,PC,-0.250383874
29.76588629,MYL3,PC,-0.175994659
8.138238573,MYOCD,PC,-0.275355525
9.030100334,MYBPC3,PC,-0.301694754
1.783723523,CDH5,PC,-0.672837978
2.118171683,PECAM1,PC,-0.692111087
6.577480491,APLNR,PC,-0.488080209
1.226309922,SOX17,PC,-0.490713925
1.114827202,KDR,PC,-0.726038474
4.905239688,DLL4,PC,-0.250133012
8.249721293,FLT1,PC,-0.404914279
1.560758082,ROBO4,PC,-0.63791372
3.678929766,RGCC,PC,-0.65892619
9.476031215,NRP2,PC,-0.788545539
21.62764771,TGFB1,PC,-0.03548907
40.3567447,FABP4,PC,0.434370508
2.229654404,NFATC1,PC,-0.717187362
55.96432553,CDH11,PC,0.304277776
0,KLF1,PC,-0.510751317
0.557413601,TAL1,PC,-0.734695276
99.77703456,VIM,PC,0.663151272
96.98996656,COL3A1,PC,0.744073589
96.98996656,COL1A1,PC,0.546553845
0.22296544,RSPO3,PC,-0.63766889
13.15496098,MFAP4,PC,-0.776620876
73.4671126,TAGLN,PC,0.682274308
94.64882943,PDGFRB,PC,2.442696506
14.15830546,MYH11,PC,0.528740932
87.95986622,ACTA2,PC,1.052736767
75.47380156,DCN,PC,0.476979442
35.67447046,LUM,PC,0.249374186
18.39464883,TBX18,PC,0.21387083
